iter	Accuracy	Logloss
397	0.9998882182	0.07531302202
398	0.9998882182	0.07494867351
399	1	0.07455647857
400	0.9998882182	0.07415480278
401	0.9998882182	0.07399400636
402	1	0.07372227281
403	1	0.07358681057
404	1	0.07338749477
405	1	0.07274915563
406	1	0.07231773117
407	1	0.07223749936
408	1	0.07180497873
409	1	0.07133655653
410	1	0.07112980739
411	1	0.07094031309
412	1	0.07062086193
413	1	0.07044801487
414	1	0.07026267553
415	1	0.07003879744
416	1	0.06976433317
417	1	0.06959839489
418	1	0.06944316457
419	1	0.0692500078
420	1	0.0690042552
421	1	0.06883432384
422	1	0.06852489317
423	1	0.0683668841
424	1	0.06819525212
425	1	0.06796403486
426	1	0.06784512147
427	1	0.06756918462
428	1	0.06745956508
429	1	0.06705981316
430	1	0.06683381055
431	1	0.0667271953
432	1	0.06657876943
433	1	0.06639702098
434	1	0.06619591434
435	1	0.06600378157
436	1	0.06565756083
437	1	0.06523737884
438	1	0.06486619703
439	1	0.06468329453
440	1	0.06450576944
441	1	0.06434593996
442	1	0.06407988222
443	1	0.06407764679
444	1	0.06375388724
445	1	0.06359433371
446	1	0.06325660519
447	1	0.06310744158
448	1	0.06278323576
449	1	0.06255750506
450	1	0.06247881418
451	1	0.06236332146
452	1	0.06216716586
453	1	0.06206033894
454	1	0.06198123527
455	1	0.0615935652
456	1	0.0612350945
457	1	0.06113658498
458	1	0.06100283426
459	1	0.06088999992
460	1	0.06065530503
461	1	0.06039750769
462	1	0.06023542693
463	1	0.06001139946
464	1	0.05986134061
465	1	0.05965660772
466	1	0.05962100925
467	1	0.0594272124
468	1	0.05913269854
469	1	0.05891581119
470	1	0.05859125929
471	1	0.05843512565
472	1	0.05829964588
473	1	0.05795545833
474	1	0.05782503252
475	1	0.05770757228
476	1	0.05753429895
477	1	0.05724456171
478	1	0.05713544286
479	1	0.05682815668
480	1	0.05667609963
481	1	0.05643347976
482	1	0.05632774835
483	1	0.05613977452
484	1	0.05584627021
485	1	0.05560026674
486	1	0.05525924984
487	1	0.05516828598
488	1	0.0549819443
489	1	0.05463644169
490	1	0.05452074911
491	1	0.0543785215
492	1	0.05414483997
493	1	0.05391674934
494	1	0.05386053566
495	1	0.05331270753
496	1	0.05318985656
497	1	0.05289169875
498	1	0.05276654015
499	1	0.05263501569
500	1	0.05251644436
501	1	0.05233883257
502	1	0.05223013402
503	1	0.05213342897
504	1	0.05192858814
505	1	0.05177253187
506	1	0.05168017273
507	1	0.05149213233
508	1	0.05122649945
509	1	0.05108067026
510	1	0.05086706489
511	1	0.05078621923
512	1	0.05056640665
513	1	0.05038441909
514	1	0.05020241922
515	1	0.05008972662
516	1	0.04977365549
517	1	0.04967531887
518	1	0.04958191395
519	1	0.0494843474
520	1	0.04941459053
521	1	0.04917763654
522	1	0.04903317931
523	1	0.04893728344
524	1	0.04879840049
525	1	0.04869405634
526	1	0.04850451052
527	1	0.04833982574
528	1	0.04819338684
529	1	0.0480031499
530	1	0.04784962935
531	1	0.0474909768
532	1	0.04731734113
533	1	0.04714048144
534	1	0.0469834834
535	1	0.04681804836
536	1	0.04672904212
537	1	0.04662354568
538	1	0.04647394801
539	1	0.04624755926
540	1	0.04611259867
541	1	0.04593994828
542	1	0.04577497325
543	1	0.04572390175
544	1	0.04552852993
545	1	0.04547527051
546	1	0.04539081923
547	1	0.04533161713
548	1	0.04515798101
